Adoption ID,Animal Type,Breed,Age (Years),Adoption Fee,Adoption Date,City,Payment Method
A0066,Bird,American,6,100,2023-11-19 00:00:00,Montreal,Cash
A0067,Cat,American,14,200,2023-02-09 00:00:00,Vancouver,Online Transfer
A0068,Cat,Cockatiel,10,50,2023-02-09 00:00:00,Toronto,Cash
A0069,Bird,Bulldog,5,200,2023-10-16 00:00:00,Ottawa,Online Transfer
A0070,Bird,Persian,7,50,2023-09-19 00:00:00,Montreal,Credit Card
A0071,Dog,Siamese,3,75,2023-08-04 00:00:00,Vancouver,Credit Card
A0072,Guinea Pig,American,7,150,2023-05-27 00:00:00,Montreal,Online Transfer
A0073,Guinea Pig,Holland Lop,3,50,2023-12-02 00:00:00,Ottawa,Credit Card
A0074,Cat,Siamese,7,200,2023-06-17 00:00:00,Ottawa,Online Transfer
A0075,Guinea Pig,Holland Lop,8,75,2023-04-02 00:00:00,Calgary,Debit
A0076,Cat,Bulldog,2,50,2023-12-19 00:00:00,Vancouver,Cash
A0077,Dog,Labrador,2,100,2023-12-29 00:00:00,Ottawa,Debit
A0078,Bird,Siamese,10,150,2023-12-11 00:00:00,Calgary,Online Transfer
A0079,Bird,American,12,50,2023-06-19 00:00:00,Calgary,Cash
A0080,Bird,Siamese,1,75,2023-12-22 00:00:00,Montreal,Online Transfer
A0081,Guinea Pig,Siamese,12,100,2023-07-10 00:00:00,Montreal,Cash
A0082,Dog,Siamese,9,75,2024-02-26 00:00:00,Calgary,Cash
A0083,Guinea Pig,Persian,2,75,2023-01-07 00:00:00,Montreal,Cash
A0084,Guinea Pig,Siamese,2,100,2023-05-13 00:00:00,Ottawa,Cash
A0085,Dog,Holland Lop,4,75,2023-01-31 00:00:00,Toronto,Online Transfer
A0086,Dog,Labrador,4,100,2024-06-18 00:00:00,Ottawa,Cash
A0087,Dog,Bulldog,1,50,2024-03-01 00:00:00,Calgary,Cash
A0088,Dog,Cockatiel,11,100,2024-01-29 00:00:00,Calgary,Debit
A0089,Bird,Siamese,9,100,2023-12-29 00:00:00,Ottawa,Credit Card
A0090,Rabbit,American,12,150,2024-03-12 00:00:00,Montreal,Credit Card
A0091,Rabbit,Siamese,5,100,2023-03-23 00:00:00,Montreal,Debit
A0092,Dog,American,4,100,2023-12-22 00:00:00,Calgary,Debit
A0093,Rabbit,Holland Lop,5,50,2023-09-15 00:00:00,Vancouver,Online Transfer
A0094,Rabbit,American,0,150,2024-06-07 00:00:00,Montreal,Online Transfer
A0095,Dog,Cockatiel,4,200,2023-10-22 00:00:00,Ottawa,Online Transfer
A0096,Rabbit,Labrador,8,50,2023-08-12 00:00:00,Montreal,Debit
A0097,Guinea Pig,American,11,50,2024-06-08 00:00:00,Ottawa,Debit
A0098,Cat,American,9,200,2023-02-15 00:00:00,Calgary,Cash
A0099,Cat,Labrador,13,100,2023-04-23 00:00:00,Montreal,Online Transfer
A0100,Dog,Cockatiel,1,75,2023-08-21 00:00:00,Ottawa,Online Transfer
A0101,Bird,Siamese,0,150,2023-01-17 00:00:00,Calgary,Online Transfer
A0102,Dog,American,13,75,2023-12-26 00:00:00,Vancouver,Credit Card
A0103,Bird,Labrador,9,200,2023-08-11 00:00:00,Ottawa,Cash
A0104,Cat,Holland Lop,12,50,2024-03-23 00:00:00,Vancouver,Online Transfer
A0105,Dog,Labrador,10,50,2023-12-31 00:00:00,Vancouver,Online Transfer
A0106,Guinea Pig,Holland Lop,8,150,2023-11-22 00:00:00,Toronto,Online Transfer
A0107,Rabbit,Cockatiel,9,50,2024-04-11 00:00:00,Montreal,Credit Card
A0108,Bird,Siamese,8,50,2024-02-18 00:00:00,Ottawa,Credit Card
A0109,Rabbit,Labrador,14,150,2024-03-30 00:00:00,Vancouver,Debit
A0110,Rabbit,Bulldog,8,150,2023-08-21 00:00:00,Toronto,Cash
A0111,Dog,Bulldog,5,200,2023-08-12 00:00:00,Calgary,Debit
A0112,Rabbit,Persian,14,50,2024-02-16 00:00:00,Ottawa,Cash
A0113,Guinea Pig,American,7,50,2023-12-01 00:00:00,Vancouver,Credit Card
A0114,Rabbit,Cockatiel,13,200,2023-08-10 00:00:00,Montreal,Online Transfer
A0115,Dog,Labrador,10,100,2023-02-06 00:00:00,Toronto,Debit
A0116,Guinea Pig,Bulldog,14,100,2023-10-05 00:00:00,Vancouver,Online Transfer
A0117,Cat,American,12,100,2023-07-15 00:00:00,Montreal,Debit
A0118,Rabbit,Bulldog,0,200,2024-04-28 00:00:00,Vancouver,Credit Card
A0119,Dog,Labrador,9,50,2023-08-30 00:00:00,Ottawa,Credit Card
A0120,Cat,Holland Lop,3,200,2023-11-20 00:00:00,Ottawa,Credit Card
A0121,Cat,Labrador,0,200,2023-07-11 00:00:00,Ottawa,Debit
A0122,Bird,Persian,7,100,2023-01-17 00:00:00,Toronto,Cash
A0123,Guinea Pig,Labrador,0,75,2024-06-07 00:00:00,Ottawa,Debit
A0124,Rabbit,Labrador,2,50,2024-02-05 00:00:00,Montreal,Cash
A0125,Dog,Persian,12,100,2023-01-22 00:00:00,Vancouver,Debit
A0126,Bird,Cockatiel,3,75,2024-04-18 00:00:00,Calgary,Debit
A0127,Guinea Pig,Labrador,14,75,2023-04-30 00:00:00,Montreal,Credit Card
A0128,Bird,Persian,14,150,2023-07-29 00:00:00,Montreal,Online Transfer
A0129,Guinea Pig,American,14,50,2023-11-02 00:00:00,Ottawa,Online Transfer
A0130,Guinea Pig,Holland Lop,7,75,2023-09-27 00:00:00,Toronto,Cash
A0131,Rabbit,Holland Lop,5,100,2023-10-12 00:00:00,Vancouver,Online Transfer
A0132,Guinea Pig,Labrador,13,150,2023-08-15 00:00:00,Toronto,Debit
A0133,Bird,Cockatiel,9,50,2024-01-16 00:00:00,Vancouver,Debit
A0134,Guinea Pig,Cockatiel,11,200,2024-04-04 00:00:00,Vancouver,Credit Card
A0135,Rabbit,American,6,100,2023-01-07 00:00:00,Toronto,Credit Card
A0136,Rabbit,Labrador,13,75,2023-01-29 00:00:00,Montreal,Online Transfer
A0137,Bird,Holland Lop,7,75,2023-02-02 00:00:00,Vancouver,Cash
A0138,Cat,Cockatiel,1,100,2023-03-20 00:00:00,Toronto,Online Transfer
A0139,Cat,Labrador,12,75,2024-04-03 00:00:00,Vancouver,Online Transfer
A0140,Guinea Pig,Bulldog,9,150,2024-06-21 00:00:00,Calgary,Online Transfer
A0141,Dog,Cockatiel,13,50,2024-04-26 00:00:00,Montreal,Online Transfer
A0142,Guinea Pig,Persian,10,150,2024-03-05 00:00:00,Ottawa,Debit
A0143,Bird,Bulldog,7,75,2023-10-12 00:00:00,Vancouver,Cash
A0144,Bird,Cockatiel,2,200,2024-05-30 00:00:00,Calgary,Debit
A0145,Bird,Holland Lop,6,50,2023-04-09 00:00:00,Ottawa,Cash
A0146,Bird,Siamese,2,50,2024-02-01 00:00:00,Ottawa,Credit Card
A0147,Bird,Bulldog,14,100,2024-05-03 00:00:00,Vancouver,Online Transfer
A0148,Rabbit,American,6,100,2023-02-08 00:00:00,Toronto,Debit
A0149,Cat,American,13,200,2023-09-28 00:00:00,Vancouver,Cash
A0150,Bird,Holland Lop,10,50,2023-06-06 00:00:00,Calgary,Credit Card
A0151,Dog,Cockatiel,14,200,2023-03-16 00:00:00,Ottawa,Credit Card
A0152,Dog,Labrador,11,100,2023-05-10 00:00:00,Vancouver,Online Transfer
A0153,Dog,Cockatiel,12,100,2023-03-25 00:00:00,Toronto,Cash
A0154,Dog,Holland Lop,1,50,2023-01-22 00:00:00,Vancouver,Debit
A0155,Rabbit,American,9,150,2024-04-03 00:00:00,Montreal,Online Transfer
A0156,Dog,Cockatiel,5,75,2024-06-22 00:00:00,Toronto,Debit
A0157,Bird,American,2,100,2024-01-17 00:00:00,Calgary,Credit Card
A0158,Guinea Pig,Bulldog,2,100,2024-03-15 00:00:00,Ottawa,Debit
A0159,Dog,Labrador,14,150,2023-01-21 00:00:00,Vancouver,Debit
A0160,Rabbit,Bulldog,8,150,2023-10-30 00:00:00,Toronto,Online Transfer
A0161,Rabbit,American,6,200,2023-03-25 00:00:00,Montreal,Debit
A0162,Dog,American,4,200,2024-03-28 00:00:00,Toronto,Online Transfer
A0163,Guinea Pig,Siamese,11,75,2024-01-22 00:00:00,Montreal,Credit Card
A0164,Dog,Siamese,9,75,2024-05-21 00:00:00,Calgary,Online Transfer
A0165,Rabbit,Bulldog,6,50,2023-09-14 00:00:00,Ottawa,Online Transfer
A0166,Cat,Persian,8,200,2024-06-10 00:00:00,Calgary,Cash
A0167,Bird,Bulldog,0,100,2023-06-11 00:00:00,Vancouver,Debit
A0168,Rabbit,Siamese,6,200,2023-06-12 00:00:00,Toronto,Credit Card
A0169,Dog,American,5,100,2024-06-07 00:00:00,Montreal,Online Transfer
A0170,Bird,Holland Lop,9,150,2023-09-28 00:00:00,Montreal,Credit Card
A0171,Dog,Bulldog,13,200,2024-05-06 00:00:00,Toronto,Cash
A0172,Dog,American,11,150,2023-07-27 00:00:00,Toronto,Debit
A0173,Cat,Holland Lop,8,75,2024-06-22 00:00:00,Vancouver,Online Transfer
A0174,Bird,Holland Lop,0,75,2023-03-01 00:00:00,Calgary,Debit
A0175,Bird,Siamese,12,50,2024-03-05 00:00:00,Montreal,Cash
A0176,Cat,Bulldog,3,200,2023-11-05 00:00:00,Vancouver,Cash
A0177,Rabbit,Cockatiel,8,150,2024-06-03 00:00:00,Calgary,Credit Card
A0178,Dog,Labrador,3,100,2023-01-27 00:00:00,Vancouver,Online Transfer
A0179,Guinea Pig,Siamese,9,75,2023-07-18 00:00:00,Montreal,Credit Card
A0180,Dog,Siamese,2,75,2024-01-22 00:00:00,Toronto,Cash
A0181,Dog,Cockatiel,8,100,2023-12-15 00:00:00,Toronto,Debit
A0182,Rabbit,Labrador,12,150,2024-06-19 00:00:00,Calgary,Credit Card
A0183,Dog,American,1,150,2024-01-13 00:00:00,Ottawa,Credit Card
A0184,Cat,Persian,14,200,2024-06-10 00:00:00,Calgary,Debit
A0185,Cat,Bulldog,3,200,2023-06-02 00:00:00,Ottawa,Credit Card
A0186,Bird,Persian,14,50,2023-07-25 00:00:00,Vancouver,Debit
A0187,Guinea Pig,American,5,75,2024-03-30 00:00:00,Vancouver,Online Transfer
A0188,Dog,Siamese,1,200,2023-09-30 00:00:00,Montreal,Debit
A0189,Dog,Labrador,14,150,2023-08-24 00:00:00,Ottawa,Online Transfer
A0190,Rabbit,Siamese,7,100,2024-06-04 00:00:00,Montreal,Debit
A0191,Cat,Holland Lop,7,150,2024-05-15 00:00:00,Toronto,Cash
A0192,Guinea Pig,Siamese,0,75,2023-04-27 00:00:00,Ottawa,Cash
A0193,Bird,Siamese,11,150,2024-01-21 00:00:00,Calgary,Online Transfer
A0194,Cat,American,2,50,2023-12-10 00:00:00,Toronto,Online Transfer
A0195,Bird,American,9,75,2024-01-30 00:00:00,Toronto,Cash
A0196,Rabbit,American,8,100,2023-03-05 00:00:00,Calgary,Online Transfer
A0197,Rabbit,Persian,4,50,2023-03-13 00:00:00,Toronto,Debit
A0198,Dog,Holland Lop,5,75,2023-10-01 00:00:00,Ottawa,Debit
A0199,Guinea Pig,American,3,100,2023-11-16 00:00:00,Montreal,Cash
A0200,Bird,Labrador,9,50,2023-12-04 00:00:00,Toronto,Credit Card
A0201,Cat,Persian,1,50,2024-01-01 00:00:00,Ottawa,Debit
A0202,Rabbit,Cockatiel,10,75,2024-05-09 00:00:00,Vancouver,Online Transfer
A0203,Dog,Labrador,7,200,2023-06-15 00:00:00,Ottawa,Credit Card
A0204,Dog,Bulldog,10,50,2024-06-27 00:00:00,Montreal,Credit Card
A0205,Bird,Bulldog,12,50,2023-01-11 00:00:00,Ottawa,Debit
A0206,Rabbit,Labrador,5,100,2023-10-28 00:00:00,Calgary,Debit
A0207,Guinea Pig,American,4,150,2023-04-12 00:00:00,Montreal,Credit Card
A0208,Rabbit,Cockatiel,8,75,2024-02-29 00:00:00,Vancouver,Credit Card
A0209,Bird,Cockatiel,0,75,2024-01-27 00:00:00,Calgary,Cash
A0210,Bird,Persian,4,200,2023-08-02 00:00:00,Ottawa,Online Transfer
A0211,Rabbit,Cockatiel,5,200,2023-03-29 00:00:00,Montreal,Cash
A0212,Bird,Bulldog,4,75,2024-02-05 00:00:00,Vancouver,Debit
A0213,Rabbit,Holland Lop,5,200,2023-02-15 00:00:00,Calgary,Cash
A0214,Cat,American,5,100,2024-04-07 00:00:00,Vancouver,Cash
A0215,Rabbit,Cockatiel,6,75,2023-11-06 00:00:00,Ottawa,Cash
A0216,Rabbit,Persian,3,200,2023-03-27 00:00:00,Vancouver,Cash
A0217,Bird,Bulldog,13,75,2023-04-02 00:00:00,Toronto,Online Transfer
A0218,Bird,Holland Lop,10,150,2023-08-30 00:00:00,Calgary,Online Transfer
A0219,Dog,Siamese,13,50,2023-01-02 00:00:00,Vancouver,Credit Card
A0220,Dog,Siamese,13,75,2023-08-13 00:00:00,Ottawa,Debit
A0221,Cat,Holland Lop,13,50,2023-04-26 00:00:00,Ottawa,Cash
A0222,Dog,Bulldog,14,200,2023-04-13 00:00:00,Vancouver,Credit Card
A0223,Rabbit,Persian,7,50,2023-07-13 00:00:00,Ottawa,Credit Card
A0224,Bird,Holland Lop,6,75,2023-06-15 00:00:00,Montreal,Credit Card
A0225,Dog,American,8,150,2023-03-31 00:00:00,Montreal,Online Transfer
A0226,Dog,American,6,200,2023-05-02 00:00:00,Montreal,Cash
A0227,Cat,Siamese,2,75,2023-05-23 00:00:00,Toronto,Cash
A0228,Cat,Cockatiel,2,200,2023-04-16 00:00:00,Vancouver,Debit
A0229,Rabbit,Persian,14,100,2024-03-03 00:00:00,Toronto,Cash
A0230,Bird,Siamese,7,50,2023-11-01 00:00:00,Ottawa,Cash
A0231,Cat,Cockatiel,4,100,2023-11-13 00:00:00,Toronto,Credit Card
A0232,Dog,Cockatiel,3,75,2023-01-09 00:00:00,Ottawa,Debit
A0233,Bird,American,7,150,2023-03-14 00:00:00,Ottawa,Cash
A0234,Bird,Bulldog,14,200,2023-12-25 00:00:00,Calgary,Online Transfer
A0235,Dog,Labrador,5,50,2023-08-11 00:00:00,Montreal,Cash
A0236,Cat,Bulldog,1,200,2024-02-20 00:00:00,Ottawa,Credit Card
A0237,Dog,Labrador,3,75,2024-01-05 00:00:00,Calgary,Online Transfer
A0238,Bird,Holland Lop,11,200,2023-09-21 00:00:00,Montreal,Credit Card
A0239,Guinea Pig,American,10,50,2023-11-14 00:00:00,Ottawa,Cash
A0240,Guinea Pig,Cockatiel,3,75,2023-03-25 00:00:00,Ottawa,Online Transfer
A0241,Rabbit,Persian,14,200,2023-11-14 00:00:00,Toronto,Debit
A0242,Dog,Labrador,5,150,2023-04-21 00:00:00,Toronto,Debit
A0243,Dog,Bulldog,5,75,2023-09-08 00:00:00,Montreal,Online Transfer
A0244,Rabbit,Cockatiel,0,75,2024-01-18 00:00:00,Ottawa,Online Transfer
A0245,Rabbit,Labrador,13,150,2023-01-07 00:00:00,Vancouver,Credit Card
A0246,Rabbit,Labrador,7,100,2024-04-03 00:00:00,Toronto,Online Transfer
A0247,Bird,Labrador,5,50,2023-03-25 00:00:00,Montreal,Credit Card
A0248,Dog,Persian,2,100,2023-07-27 00:00:00,Ottawa,Cash
A0249,Bird,American,13,200,2024-01-25 00:00:00,Ottawa,Credit Card
A0250,Rabbit,Persian,8,150,2023-11-10 00:00:00,Vancouver,Online Transfer
A0251,Dog,Siamese,1,100,2023-01-22 00:00:00,Montreal,Online Transfer
A0252,Bird,Cockatiel,14,75,2024-02-14 00:00:00,Ottawa,Cash
A0253,Bird,American,10,200,2024-05-29 00:00:00,Toronto,Online Transfer
A0254,Rabbit,American,7,200,2023-05-07 00:00:00,Vancouver,Online Transfer
A0255,Dog,American,9,100,2023-01-14 00:00:00,Montreal,Debit
A0256,Rabbit,Bulldog,2,100,2023-01-12 00:00:00,Vancouver,Debit
A0257,Dog,American,12,150,2023-03-28 00:00:00,Toronto,Cash
A0258,Guinea Pig,Persian,11,50,2024-06-07 00:00:00,Montreal,Credit Card
A0259,Cat,American,4,100,2024-06-20 00:00:00,Vancouver,Debit
A0260,Cat,Holland Lop,5,100,2023-10-28 00:00:00,Calgary,Credit Card
A0261,Cat,Cockatiel,9,75,2023-08-31 00:00:00,Toronto,Online Transfer
A0262,Rabbit,American,5,200,2023-05-02 00:00:00,Toronto,Debit
A0263,Guinea Pig,Cockatiel,3,50,2023-05-27 00:00:00,Toronto,Cash
A0264,Dog,Holland Lop,2,75,2023-12-22 00:00:00,Calgary,Cash
A0265,Bird,Holland Lop,3,150,2023-11-05 00:00:00,Calgary,Cash
A0266,Dog,Cockatiel,0,150,2023-10-15 00:00:00,Ottawa,Debit
A0267,Bird,Labrador,3,100,2023-11-03 00:00:00,Vancouver,Credit Card
A0268,Dog,Siamese,0,100,2023-12-18 00:00:00,Ottawa,Online Transfer
A0269,Guinea Pig,Bulldog,11,150,2023-11-08 00:00:00,Vancouver,Credit Card
A0270,Bird,Labrador,14,100,2023-02-28 00:00:00,Calgary,Credit Card
A0271,Rabbit,Labrador,0,50,2023-02-04 00:00:00,Calgary,Online Transfer
A0272,Dog,Persian,9,100,2024-03-20 00:00:00,Ottawa,Online Transfer
A0273,Dog,Bulldog,13,200,2023-04-03 00:00:00,Montreal,Debit
A0274,Bird,Bulldog,5,100,2023-07-26 00:00:00,Ottawa,Debit
A0275,Rabbit,Labrador,4,75,2023-12-19 00:00:00,Vancouver,Debit
A0276,Rabbit,American,13,50,2023-11-28 00:00:00,Ottawa,Debit
A0277,Guinea Pig,Persian,10,75,2023-06-08 00:00:00,Toronto,Debit
A0278,Rabbit,Persian,14,75,2023-01-24 00:00:00,Vancouver,Online Transfer
A0279,Rabbit,Holland Lop,3,200,2024-02-08 00:00:00,Vancouver,Credit Card
A0280,Rabbit,Bulldog,12,50,2024-05-30 00:00:00,Montreal,Debit
A0281,Cat,Labrador,10,50,2023-12-30 00:00:00,Calgary,Debit
A0282,Guinea Pig,Holland Lop,2,50,2024-01-17 00:00:00,Vancouver,Credit Card
A0283,Dog,Cockatiel,0,50,2024-06-15 00:00:00,Calgary,Debit
A0284,Bird,Siamese,5,50,2023-06-01 00:00:00,Ottawa,Credit Card
A0285,Dog,Persian,1,200,2024-02-24 00:00:00,Toronto,Credit Card
A0286,Guinea Pig,Cockatiel,7,100,2023-09-07 00:00:00,Montreal,Online Transfer
A0287,Bird,Cockatiel,9,75,2023-04-27 00:00:00,Calgary,Cash
A0288,Guinea Pig,American,4,50,2024-05-26 00:00:00,Vancouver,Online Transfer
A0289,Rabbit,Siamese,6,100,2023-12-01 00:00:00,Calgary,Cash
A0290,Bird,Cockatiel,9,100,2024-02-22 00:00:00,Vancouver,Cash
A0291,Rabbit,Cockatiel,11,75,2023-10-22 00:00:00,Calgary,Cash
A0292,Dog,Siamese,1,200,2024-01-06 00:00:00,Vancouver,Debit
A0293,Dog,Siamese,12,150,2023-07-05 00:00:00,Ottawa,Online Transfer
A0294,Bird,Cockatiel,7,150,2023-09-03 00:00:00,Vancouver,Cash
A0295,Bird,Siamese,1,100,2023-09-25 00:00:00,Vancouver,Credit Card
A0296,Guinea Pig,Cockatiel,3,75,2023-08-25 00:00:00,Toronto,Debit
A0297,Guinea Pig,Cockatiel,0,150,2024-06-13 00:00:00,Vancouver,Online Transfer
A0298,Rabbit,American,14,100,2023-01-21 00:00:00,Toronto,Cash
A0299,Bird,Labrador,4,200,2024-06-03 00:00:00,Montreal,Credit Card
A0300,Dog,Cockatiel,8,150,2023-04-10 00:00:00,Toronto,Online Transfer
A0301,Guinea Pig,Holland Lop,0,100,2024-04-22 00:00:00,Ottawa,Online Transfer
A0302,Guinea Pig,Persian,8,100,2023-10-25 00:00:00,Toronto,Debit
A0303,Dog,Bulldog,10,50,2024-06-09 00:00:00,Montreal,Online Transfer
A0304,Guinea Pig,Labrador,14,200,2023-11-30 00:00:00,Ottawa,Debit
A0305,Rabbit,Labrador,7,50,2023-01-02 00:00:00,Calgary,Cash
A0306,Bird,Labrador,5,75,2024-01-10 00:00:00,Calgary,Debit
A0307,Dog,American,6,50,2023-10-20 00:00:00,Toronto,Credit Card
A0308,Bird,Cockatiel,2,50,2023-11-14 00:00:00,Toronto,Debit
A0309,Guinea Pig,American,13,150,2024-05-16 00:00:00,Montreal,Credit Card
A0310,Guinea Pig,Cockatiel,14,100,2024-01-16 00:00:00,Montreal,Debit
A0311,Dog,American,0,200,2023-01-14 00:00:00,Vancouver,Online Transfer
A0312,Rabbit,American,4,50,2024-05-18 00:00:00,Montreal,Cash
A0313,Cat,Persian,13,200,2023-08-19 00:00:00,Vancouver,Credit Card
A0314,Dog,Holland Lop,11,50,2023-03-25 00:00:00,Ottawa,Debit
A0315,Cat,American,11,75,2023-05-10 00:00:00,Toronto,Debit
A0316,Cat,Persian,1,50,2023-05-25 00:00:00,Ottawa,Debit
A0317,Rabbit,Siamese,13,150,2023-01-28 00:00:00,Montreal,Online Transfer
A0318,Cat,Holland Lop,4,100,2023-03-07 00:00:00,Ottawa,Online Transfer
A0319,Cat,American,7,75,2023-06-12 00:00:00,Ottawa,Credit Card
A0320,Rabbit,Bulldog,10,50,2023-08-17 00:00:00,Ottawa,Credit Card
A0321,Cat,Labrador,8,200,2023-09-18 00:00:00,Montreal,Online Transfer
A0322,Cat,Siamese,1,75,2024-03-24 00:00:00,Ottawa,Credit Card
A0323,Cat,Siamese,11,75,2024-02-28 00:00:00,Vancouver,Cash
A0324,Dog,Persian,2,50,2024-04-04 00:00:00,Montreal,Cash
A0325,Dog,Siamese,2,75,2023-10-28 00:00:00,Ottawa,Online Transfer
A0326,Dog,Holland Lop,0,200,2023-10-30 00:00:00,Montreal,Credit Card
A0327,Rabbit,American,7,75,2023-10-14 00:00:00,Calgary,Debit
A0328,Guinea Pig,American,5,200,2024-01-30 00:00:00,Vancouver,Cash
A0329,Cat,Bulldog,11,50,2023-01-10 00:00:00,Ottawa,Online Transfer
A0330,Cat,Labrador,12,100,2023-09-27 00:00:00,Calgary,Credit Card
A0331,Rabbit,Persian,7,75,2023-12-27 00:00:00,Calgary,Online Transfer
A0332,Cat,Labrador,10,100,2023-09-14 00:00:00,Montreal,Debit
